age,gender,city,employment,income_aed,wellness_goal,nutri_knowledge,activity_level,lunch_source,online_orders_per_week,pain_points,frustration_level,order_channel,delivery_reliability_importance,transparency_need,flexibility_need,edu_content_need,past_subscription,trial_intent,max_daily_budget_aed,pricing_pref,convince_factors,open_comment
28,Male,Abu Dhabi,Full-time,5360,Muscle gain,4,Moderate,Cook at home,3,Cooking skills,1,Mobile app,5,4,4,3,No,4,25,Weekly plan,"App experience, Sustainability creds, Chef reputation",
28,Female,Dubai,Full-time,17924,General health,1,Moderate,Office canteen,3,"Taste, Lack of time, Cost",4,Phone/WhatsApp,5,4,4,4,No,4,40,Pay-as-you-go,"App experience, Sustainability creds, Chef reputation",
33,Male,Dubai,Full-time,7403,Muscle gain,5,Moderate,Cook at home,4,"Cooking skills, Taste, Limited options nearby",2,Mobile app,3,4,3,4,No,5,33,Weekly plan,"Sustainability creds, Chef reputation, Proven health results",
18,Male,Dubai,Student,15691,Muscle gain,3,Low,Office canteen,5,Cost,2,Phone/WhatsApp,5,3,4,2,Yes,5,43,Weekly plan,"Sustainability creds, Proven health results, App experience",
18,Female,Dubai,Full-time,11554,General health,3,Low,Restaurant/take-away,2,"Lack of time, Confusing nutrition info",1,Mobile app,4,2,5,5,Yes,3,247,Monthly plan with discount,"Sustainability creds, App experience, Proven health results",
27,Female,Dubai,Student,19326,Weight loss,3,Moderate,Office canteen,2,"Lack of time, Taste",1,Website,3,2,4,2,No,4,39,Monthly plan with discount,"App experience, Sustainability creds, Chef reputation",
23,Male,Dubai,Part-time,14077,Weight loss,1,Moderate,Restaurant/take-away,3,"Limited options nearby, Taste",1,Mobile app,3,4,5,5,No,4,34,Monthly plan with discount,"Taste variety, Price, Proven health results",
34,Female,Dubai,Self-employed,9925,No specific goal,5,Low,Cook at home,2,Confusing nutrition info,1,Mobile app,3,4,4,3,No,2,20,Monthly plan with discount,"Chef reputation, Price, Taste variety",
24,Male,Dubai,Full-time,10256,General health,1,High,Meal box/subscription,4,"Limited options nearby, Lack of time",2,Website,5,5,3,3,No,5,36,Annual membership,"Chef reputation, Proven health results, App experience",
20,Male,Abu Dhabi,Self-employed,39420,General health,4,High,Office canteen,5,"Lack of time, Limited options nearby",3,Phone/WhatsApp,4,3,4,2,No,5,63,Weekly plan,"Chef reputation, Taste variety, App experience",
43,Male,Other,Full-time,18724,General health,3,High,Restaurant/take-away,4,"Confusing nutrition info, Limited options nearby",3,Website,5,5,4,5,Yes,4,39,Annual membership,"Proven health results, Sustainability creds, Chef reputation",
30,Male,Abu Dhabi,Self-employed,6404,Weight loss,5,Moderate,Restaurant/take-away,4,"Limited options nearby, Cost",2,Mobile app,4,4,4,3,No,3,20,Pay-as-you-go,"Chef reputation, Proven health results, App experience",
32,Female,Dubai,Full-time,19755,General health,2,Low,Cook at home,5,"Lack of time, Confusing nutrition info, Cost",4,In-person kiosk,4,2,4,4,No,5,42,Monthly plan with discount,"Taste variety, App experience, Price",
20,Male,Dubai,Student,13608,Muscle gain,3,Moderate,Meal box/subscription,2,"Lack of time, Cost",2,Mobile app,4,5,4,4,Yes,5,40,Monthly plan with discount,"Price, Chef reputation, App experience",
27,Male,Other,Unemployed,15034,General health,3,Low,Restaurant/take-away,5,Cooking skills,1,Mobile app,4,4,3,3,Yes,5,42,Monthly plan with discount,"Sustainability creds, Price, Taste variety",
32,Female,Dubai,Full-time,22601,Muscle gain,4,Moderate,Office canteen,1,"Cooking skills, Taste",1,Mobile app,4,4,4,5,No,5,47,Monthly plan with discount,"Proven health results, Sustainability creds, Chef reputation",
22,Male,Dubai,Full-time,27103,Weight loss,1,Low,Cook at home,2,Taste,1,Website,3,4,4,2,No,4,42,Monthly plan with discount,"Price, App experience, Sustainability creds",
35,Male,Abu Dhabi,Self-employed,9763,Weight loss,2,High,Skip,3,"Cost, Taste",2,Website,5,3,5,4,Yes,4,31,Annual membership,"Taste variety, Chef reputation, Price",
27,Female,Abu Dhabi,Full-time,14778,No specific goal,2,Low,Restaurant/take-away,3,"Confusing nutrition info, Lack of time, Cost",2,Mobile app,4,4,4,3,Yes,3,30,Monthly plan with discount,"Proven health results, Price, Chef reputation",
29,Female,Abu Dhabi,Student,11415,Muscle gain,4,High,Cook at home,3,"Confusing nutrition info, Cost, Limited options nearby",3,Phone/WhatsApp,3,5,5,3,Yes,2,21,Monthly plan with discount,"Sustainability creds, App experience, Price",
27,Male,Dubai,Full-time,20216,Muscle gain,2,High,Office canteen,2,"Cooking skills, Taste",1,Website,5,4,4,2,No,2,388,Pay-as-you-go,"Sustainability creds, Taste variety, App experience",
46,Female,Dubai,Full-time,13355,Weight loss,3,Moderate,Meal box/subscription,5,"Confusing nutrition info, Limited options nearby, Cost",4,Mobile app,3,4,3,4,No,2,22,Pay-as-you-go,"Sustainability creds, App experience, Taste variety",
31,Female,Other,Unemployed,15220,Weight loss,2,High,Restaurant/take-away,3,"Taste, Lack of time, Cost",4,Mobile app,4,5,4,5,No,5,40,Annual membership,"Chef reputation, Proven health results, Sustainability creds",
23,Female,Dubai,Part-time,13103,General health,4,Moderate,Restaurant/take-away,2,Taste,1,Phone/WhatsApp,4,3,4,2,No,3,30,Monthly plan with discount,"Sustainability creds, App experience, Proven health results",
38,Female,Abu Dhabi,Student,14224,General health,5,High,Office canteen,3,"Taste, Lack of time",2,Mobile app,3,3,5,3,Yes,2,22,Monthly plan with discount,"Sustainability creds, App experience, Taste variety",
22,Male,Abu Dhabi,Full-time,35176,Muscle gain,3,Moderate,Restaurant/take-away,6,Limited options nearby,1,Mobile app,4,3,5,5,Yes,5,54,Weekly plan,"Chef reputation, App experience, Sustainability creds",
33,Male,Abu Dhabi,Part-time,49572,Weight loss,3,High,Office canteen,8,"Taste, Cost, Cooking skills",2,Mobile app,4,4,5,1,No,4,59,Pay-as-you-go,"Sustainability creds, Taste variety, Price",
18,Female,Dubai,Full-time,18112,General health,2,Moderate,Cook at home,3,"Confusing nutrition info, Cooking skills",2,Mobile app,4,5,5,4,Yes,2,26,Weekly plan,"Sustainability creds, Taste variety, Proven health results",
21,Male,Dubai,Part-time,14268,Weight loss,1,High,Restaurant/take-away,0,Taste,2,Website,3,4,4,4,Yes,5,37,Monthly plan with discount,"Price, Proven health results, Chef reputation",
33,Male,Abu Dhabi,Part-time,6754,Weight loss,3,Moderate,Skip,5,Cost,2,Mobile app,4,3,5,3,Yes,5,30,Pay-as-you-go,"Price, App experience, Chef reputation",
71,Male,Sharjah,Full-time,113384,Muscle gain,4,Moderate,Cook at home,21,"Limited options nearby, Confusing nutrition info, Taste",3,Phone/WhatsApp,3,4,4,4,No,1,96,Pay-as-you-go,"App experience, Proven health results, Price",
33,Female,Other,Full-time,14078,Weight loss,3,High,Office canteen,4,"Limited options nearby, Cooking skills, Confusing nutrition info",4,Mobile app,5,5,4,5,No,5,37,Monthly plan with discount,"App experience, Taste variety, Proven health results",
31,Female,Dubai,Full-time,10491,Weight loss,5,High,Restaurant/take-away,3,"Cost, Confusing nutrition info",2,Website,3,3,4,3,Yes,4,29,Monthly plan with discount,"Price, App experience, Chef reputation",
29,Prefer not to say,Dubai,Self-employed,11057,General health,3,Moderate,Office canteen,2,"Cooking skills, Lack of time, Limited options nearby",2,Website,4,5,4,4,No,4,28,Pay-as-you-go,"Chef reputation, Proven health results, Price",
20,Male,Other,Full-time,32974,General health,4,Low,Meal box/subscription,3,Cost,2,Website,5,5,4,4,Yes,2,223,Monthly plan with discount,"Chef reputation, Taste variety, Price",
26,Female,Abu Dhabi,Part-time,15217,Medical diet,3,Moderate,Restaurant/take-away,1,"Cost, Cooking skills, Lack of time",4,Phone/WhatsApp,5,2,3,3,No,5,40,Annual membership,"Sustainability creds, Chef reputation, Proven health results",
28,Female,Sharjah,Full-time,15913,Muscle gain,3,Athlete,Cook at home,3,"Cooking skills, Limited options nearby",1,Mobile app,5,3,4,1,No,3,28,Monthly plan with discount,"Taste variety, Sustainability creds, App experience",
40,Male,Dubai,Part-time,10707,Weight loss,3,High,Skip,0,"Limited options nearby, Taste",1,Mobile app,5,4,5,4,Yes,5,36,Monthly plan with discount,"Price, App experience, Chef reputation",
34,Male,Abu Dhabi,Self-employed,27026,Weight loss,3,High,Restaurant/take-away,1,"Lack of time, Confusing nutrition info, Taste",4,Mobile app,4,4,4,3,No,4,52,Annual membership,"Sustainability creds, Chef reputation, App experience",
18,Male,Abu Dhabi,Full-time,13487,No specific goal,3,Low,Meal box/subscription,3,"Taste, Lack of time, Confusing nutrition info",4,Phone/WhatsApp,4,5,4,3,No,2,25,Pay-as-you-go,"Chef reputation, Sustainability creds, Taste variety",
34,Male,Abu Dhabi,Full-time,11560,General health,4,Moderate,Restaurant/take-away,1,"Cost, Cooking skills",2,In-person kiosk,3,4,3,5,Yes,5,34,Pay-as-you-go,"Sustainability creds, Taste variety, Proven health results",
28,Female,Dubai,Full-time,6805,General health,5,Moderate,Meal box/subscription,0,Confusing nutrition info,1,Mobile app,3,4,5,4,Yes,5,32,Monthly plan with discount,"Taste variety, Proven health results, Sustainability creds",
26,Male,Dubai,Part-time,14548,Weight loss,3,High,Cook at home,0,"Taste, Limited options nearby, Cost",4,Website,4,3,4,5,No,3,28,Monthly plan with discount,"Price, App experience, Chef reputation",
36,Male,Abu Dhabi,Student,11381,Muscle gain,1,Low,Office canteen,4,"Lack of time, Taste, Cost",3,Mobile app,3,5,5,3,Yes,5,34,Weekly plan,"Price, App experience, Chef reputation",
40,Female,Dubai,Full-time,34825,Weight loss,3,High,Meal box/subscription,3,Taste,1,Mobile app,5,3,5,5,No,5,56,Weekly plan,"App experience, Price, Proven health results",
39,Male,Dubai,Self-employed,37712,General health,3,Moderate,Cook at home,4,Limited options nearby,1,Website,3,4,5,4,No,3,50,Monthly plan with discount,"App experience, Sustainability creds, Proven health results",
25,Non-binary,Other,Full-time,8088,No specific goal,2,Low,Cook at home,7,"Lack of time, Limited options nearby, Taste",3,Mobile app,4,3,3,5,Yes,5,33,Pay-as-you-go,"Sustainability creds, App experience, Taste variety",
29,Female,Dubai,Full-time,8558,No specific goal,4,Low,Restaurant/take-away,3,"Lack of time, Confusing nutrition info",3,Mobile app,4,2,4,5,Yes,2,19,Annual membership,"Taste variety, App experience, Proven health results",
34,Male,Sharjah,Student,13064,General health,5,Low,Meal box/subscription,1,"Taste, Cost",2,Website,4,3,5,5,No,4,34,Pay-as-you-go,"App experience, Price, Chef reputation",
39,Female,Dubai,Full-time,9974,Muscle gain,5,Moderate,Cook at home,3,Cost,2,Website,5,3,5,5,Yes,3,23,Annual membership,"Chef reputation, App experience, Price",
28,Male,Abu Dhabi,Full-time,16722,No specific goal,2,Low,Meal box/subscription,3,"Lack of time, Confusing nutrition info, Cooking skills",4,Mobile app,5,4,5,1,No,2,25,Pay-as-you-go,"App experience, Proven health results, Taste variety",
30,Male,Other,Full-time,12739,General health,4,Low,Restaurant/take-away,2,Limited options nearby,2,Mobile app,5,3,4,4,No,5,36,Pay-as-you-go,"Proven health results, Sustainability creds, Taste variety",
23,Male,Dubai,Full-time,17258,Weight loss,4,High,Office canteen,7,Cost,1,Mobile app,4,5,4,3,No,1,21,Pay-as-you-go,"Proven health results, Price, Sustainability creds",
22,Male,Dubai,Full-time,24930,Muscle gain,3,Low,Meal box/subscription,2,"Cooking skills, Limited options nearby, Cost",3,Mobile app,5,4,3,4,No,1,34,Annual membership,"App experience, Price, Chef reputation",
38,Female,Dubai,Full-time,8810,Weight loss,3,Low,Office canteen,4,"Limited options nearby, Confusing nutrition info",2,Website,3,4,5,5,No,2,19,Pay-as-you-go,"Price, Taste variety, Sustainability creds",
42,Male,Dubai,Part-time,24671,Muscle gain,4,Moderate,Cook at home,3,"Cost, Limited options nearby",2,Mobile app,5,4,5,1,No,3,44,Monthly plan with discount,"Price, Taste variety, App experience",
31,Male,Abu Dhabi,Full-time,10419,Muscle gain,3,Moderate,Cook at home,2,"Confusing nutrition info, Cost, Taste",4,Mobile app,3,4,3,4,No,2,21,Monthly plan with discount,"App experience, Taste variety, Proven health results",
40,Female,Sharjah,Full-time,43916,General health,3,High,Office canteen,0,"Confusing nutrition info, Taste",1,Mobile app,3,2,3,4,No,3,57,Monthly plan with discount,"Taste variety, App experience, Sustainability creds",
34,Male,Dubai,Full-time,33735,Muscle gain,3,Moderate,Office canteen,7,"Limited options nearby, Cooking skills",3,Phone/WhatsApp,5,5,4,3,No,4,52,Weekly plan,"Taste variety, App experience, Chef reputation",
26,Male,Dubai,Full-time,14175,Weight loss,3,High,Meal box/subscription,5,Cost,1,Mobile app,4,4,5,3,No,2,24,Annual membership,"Proven health results, Price, Sustainability creds",
34,Female,Dubai,Part-time,9265,Muscle gain,2,Moderate,Restaurant/take-away,5,Lack of time,2,Mobile app,5,2,3,2,Yes,5,33,Monthly plan with discount,"Proven health results, Price, Chef reputation",
44,Male,Abu Dhabi,Unemployed,8420,Medical diet,5,Low,Restaurant/take-away,1,"Lack of time, Limited options nearby",3,Mobile app,4,4,4,2,No,1,14,Weekly plan,"Proven health results, Taste variety, Sustainability creds",
31,Male,Dubai,Full-time,23216,General health,4,Low,Restaurant/take-away,4,"Cost, Limited options nearby, Confusing nutrition info",3,Mobile app,5,4,3,4,Yes,4,42,Monthly plan with discount,"Price, Chef reputation, Proven health results",
44,Female,Abu Dhabi,Student,14773,Weight loss,3,Moderate,Cook at home,4,Lack of time,2,Mobile app,5,2,4,4,Yes,2,23,Annual membership,"Chef reputation, Sustainability creds, Price",
18,Prefer not to say,Abu Dhabi,Full-time,23842,No specific goal,2,Moderate,Cook at home,2,"Confusing nutrition info, Lack of time, Cost",4,Mobile app,4,5,5,1,Yes,4,46,Annual membership,"Price, Taste variety, Proven health results",
38,Female,Abu Dhabi,Full-time,45157,No specific goal,3,High,Meal box/subscription,1,Lack of time,1,Website,4,2,5,5,No,5,76,Weekly plan,"Taste variety, Sustainability creds, Proven health results",
32,Female,Dubai,Full-time,10204,Weight loss,2,Moderate,Cook at home,4,"Lack of time, Limited options nearby",3,Website,4,4,5,4,Yes,5,34,Monthly plan with discount,"Proven health results, Chef reputation, Sustainability creds",
29,Female,Abu Dhabi,Full-time,8109,Weight loss,1,Moderate,Cook at home,5,Taste,1,Website,5,5,5,4,No,4,28,Weekly plan,"Chef reputation, App experience, Price",
32,Male,Dubai,Full-time,16516,General health,3,Low,Restaurant/take-away,5,"Cooking skills, Cost, Limited options nearby",3,Mobile app,4,3,4,3,No,3,28,Weekly plan,"Price, Sustainability creds, App experience",
18,Male,Dubai,Part-time,26587,Medical diet,3,Low,Office canteen,2,"Limited options nearby, Confusing nutrition info, Cooking skills",2,Mobile app,4,3,5,4,Yes,5,51,Pay-as-you-go,"App experience, Taste variety, Price",
76,Female,Sharjah,Full-time,119478,No specific goal,3,Moderate,Meal box/subscription,21,Cooking skills,2,Mobile app,4,2,5,3,No,3,112,Pay-as-you-go,"Price, Sustainability creds, Chef reputation",
34,Female,Abu Dhabi,Student,15261,No specific goal,2,Moderate,Cook at home,3,"Cost, Lack of time",2,Mobile app,3,2,5,4,No,5,37,Monthly plan with discount,"App experience, Sustainability creds, Taste variety",
43,Male,Dubai,Full-time,29757,General health,3,Moderate,Cook at home,4,Confusing nutrition info,2,Mobile app,3,2,4,4,No,1,36,Monthly plan with discount,"Chef reputation, App experience, Sustainability creds",
27,Female,Dubai,Full-time,6630,General health,2,Low,Cook at home,4,"Taste, Cooking skills",3,Website,4,5,5,2,Yes,3,21,Pay-as-you-go,"Price, App experience, Proven health results",
25,Male,Dubai,Self-employed,16872,Weight loss,5,Moderate,Restaurant/take-away,2,"Cooking skills, Lack of time",1,Mobile app,5,5,5,5,Yes,5,43,Weekly plan,"Proven health results, App experience, Sustainability creds",
27,Male,Dubai,Full-time,11450,Weight loss,3,High,Office canteen,10,"Confusing nutrition info, Lack of time, Limited options nearby",4,Mobile app,4,4,3,3,No,5,38,Weekly plan,"Sustainability creds, Chef reputation, Proven health results",
39,Male,Dubai,Full-time,15960,Muscle gain,4,Low,Office canteen,4,"Confusing nutrition info, Taste",1,Mobile app,4,3,4,3,Yes,5,38,Annual membership,"Sustainability creds, Taste variety, Price",
34,Non-binary,Dubai,Part-time,21390,General health,3,Moderate,Meal box/subscription,3,Cost,1,Mobile app,4,5,5,5,Yes,5,48,Monthly plan with discount,"Chef reputation, App experience, Taste variety",
27,Female,Dubai,Student,16750,General health,2,Athlete,Meal box/subscription,0,Cost,1,Phone/WhatsApp,4,4,5,3,Yes,3,31,Weekly plan,"Proven health results, App experience, Price",
36,Prefer not to say,Abu Dhabi,Self-employed,9051,General health,5,Moderate,Cook at home,2,"Cooking skills, Cost, Confusing nutrition info",4,Mobile app,5,3,4,4,No,2,17,Annual membership,"App experience, Proven health results, Price",
63,Male,Abu Dhabi,Part-time,102264,Weight loss,3,Moderate,Office canteen,17,Taste,1,Phone/WhatsApp,4,4,4,4,Yes,5,133,Weekly plan,"Proven health results, Sustainability creds, Taste variety",
39,Male,Abu Dhabi,Part-time,30610,General health,3,Low,Office canteen,1,"Cost, Lack of time",3,Mobile app,3,2,4,2,No,4,51,Monthly plan with discount,"Sustainability creds, Taste variety, Chef reputation",
26,Female,Dubai,Student,17681,Weight loss,4,Moderate,Skip,4,"Limited options nearby, Lack of time",3,Phone/WhatsApp,3,5,4,5,No,5,42,Annual membership,"Taste variety, App experience, Sustainability creds",
29,Male,Other,Full-time,22833,Muscle gain,1,Low,Skip,4,Confusing nutrition info,2,Mobile app,5,4,5,3,No,1,31,Weekly plan,"App experience, Taste variety, Price",
28,Female,Sharjah,Full-time,16999,General health,4,High,Cook at home,2,"Lack of time, Confusing nutrition info, Cost",4,Phone/WhatsApp,5,4,3,3,Yes,5,42,Monthly plan with discount,"Proven health results, App experience, Taste variety",
20,Female,Sharjah,Full-time,22479,General health,3,Moderate,Restaurant/take-away,3,Cooking skills,1,Mobile app,4,4,4,5,No,1,31,Weekly plan,"Price, Proven health results, App experience",
34,Female,Sharjah,Full-time,12304,No specific goal,3,High,Office canteen,6,"Cooking skills, Cost",3,Mobile app,3,4,5,4,Yes,5,37,Pay-as-you-go,"Taste variety, Sustainability creds, Chef reputation",
34,Male,Other,Part-time,10219,Weight loss,1,Moderate,Cook at home,2,"Lack of time, Cost",2,Mobile app,4,2,4,4,Yes,5,33,Monthly plan with discount,"Chef reputation, Proven health results, App experience",
32,Male,Dubai,Part-time,21974,Muscle gain,2,Moderate,Cook at home,2,"Lack of time, Cooking skills",1,Mobile app,5,4,5,5,Yes,3,36,Annual membership,"Proven health results, App experience, Taste variety",
30,Male,Dubai,Full-time,26357,Weight loss,5,Moderate,Office canteen,4,"Cooking skills, Taste",3,Mobile app,4,5,4,3,No,5,48,Weekly plan,"Taste variety, Sustainability creds, Price",
20,Male,Abu Dhabi,Full-time,9496,Muscle gain,4,High,Office canteen,5,"Confusing nutrition info, Limited options nearby",1,Mobile app,5,2,5,2,No,4,29,Annual membership,"Proven health results, App experience, Chef reputation",
28,Female,Abu Dhabi,Self-employed,11246,Medical diet,2,High,Cook at home,2,"Confusing nutrition info, Cooking skills, Cost",4,Mobile app,5,5,5,2,No,3,27,Annual membership,"Taste variety, Price, Chef reputation",
29,Male,Abu Dhabi,Full-time,13824,General health,1,Moderate,Restaurant/take-away,2,Taste,1,Mobile app,5,4,4,5,No,5,38,Pay-as-you-go,"App experience, Sustainability creds, Proven health results",
25,Female,Dubai,Part-time,33715,No specific goal,4,High,Cook at home,4,Lack of time,1,Website,4,3,5,3,Yes,2,38,Weekly plan,"App experience, Price, Chef reputation",
30,Male,Dubai,Full-time,19878,Weight loss,3,Moderate,Restaurant/take-away,3,"Confusing nutrition info, Limited options nearby, Lack of time",3,Mobile app,4,4,5,3,No,5,44,Monthly plan with discount,"Taste variety, Chef reputation, Proven health results",
35,Male,Dubai,Full-time,7736,Medical diet,3,Moderate,Cook at home,4,"Taste, Lack of time, Limited options nearby",2,Mobile app,5,5,5,3,Yes,2,16,Monthly plan with discount,"Price, App experience, Sustainability creds",
47,Male,Other,Full-time,14318,Weight loss,3,Moderate,Cook at home,3,"Cooking skills, Limited options nearby, Cost",3,Phone/WhatsApp,4,4,4,3,No,1,20,Pay-as-you-go,"Sustainability creds, Proven health results, Price",
33,Male,Abu Dhabi,Full-time,13264,No specific goal,2,Low,Office canteen,2,Limited options nearby,2,Phone/WhatsApp,4,4,4,4,Yes,5,39,Annual membership,"Chef reputation, Taste variety, Proven health results",
34,Female,Dubai,Self-employed,8342,Weight loss,4,Low,Cook at home,5,Cost,2,Website,3,4,4,5,No,1,14,Monthly plan with discount,"Chef reputation, Taste variety, Sustainability creds",
31,Male,Dubai,Student,14234,Weight loss,5,Low,Office canteen,0,Limited options nearby,2,Website,4,4,4,3,No,3,27,Weekly plan,"Price, Chef reputation, Proven health results",
18,Male,Dubai,Part-time,12975,Muscle gain,2,Moderate,Cook at home,4,Confusing nutrition info,1,Mobile app,4,3,4,3,Yes,3,28,Monthly plan with discount,"Sustainability creds, Taste variety, Proven health results",
31,Female,Sharjah,Full-time,12518,No specific goal,3,Moderate,Office canteen,3,Cooking skills,1,In-person kiosk,4,2,3,4,No,5,396,Pay-as-you-go,"App experience, Taste variety, Proven health results",
32,Female,Abu Dhabi,Full-time,12235,Weight loss,3,Moderate,Cook at home,1,Limited options nearby,1,Mobile app,3,3,5,3,No,3,29,Monthly plan with discount,"Chef reputation, Price, Taste variety",
51,Male,Abu Dhabi,Self-employed,31304,Muscle gain,3,Athlete,Restaurant/take-away,4,Limited options nearby,1,Mobile app,4,3,4,5,No,1,37,Annual membership,"Sustainability creds, Chef reputation, Proven health results",
30,Male,Dubai,Self-employed,12505,Medical diet,2,Moderate,Restaurant/take-away,4,"Lack of time, Limited options nearby, Confusing nutrition info",4,Website,3,3,5,4,No,2,20,Monthly plan with discount,"Price, App experience, Sustainability creds",
34,Female,Abu Dhabi,Full-time,15377,Muscle gain,4,Moderate,Cook at home,3,"Confusing nutrition info, Limited options nearby",3,Mobile app,4,4,5,3,No,2,24,Weekly plan,"App experience, Taste variety, Price",
31,Female,Dubai,Full-time,14565,Weight loss,3,Low,Office canteen,0,"Limited options nearby, Taste, Confusing nutrition info",4,Mobile app,4,4,4,5,No,4,35,Monthly plan with discount,"Taste variety, Sustainability creds, Proven health results",
22,Male,Abu Dhabi,Self-employed,11652,Muscle gain,3,Low,Cook at home,3,Confusing nutrition info,1,Mobile app,5,2,4,3,No,3,27,Monthly plan with discount,"Taste variety, App experience, Sustainability creds",
41,Male,Dubai,Full-time,15608,Muscle gain,3,High,Restaurant/take-away,5,"Taste, Cost, Confusing nutrition info",4,Mobile app,5,2,5,3,No,5,42,Weekly plan,"App experience, Chef reputation, Taste variety",
38,Female,Dubai,Full-time,15498,No specific goal,2,Moderate,Cook at home,1,"Cost, Taste",2,Mobile app,5,2,3,3,No,1,18,Pay-as-you-go,"Sustainability creds, Taste variety, Chef reputation",
38,Female,Abu Dhabi,Full-time,15610,General health,2,High,Office canteen,5,"Taste, Lack of time",1,Mobile app,5,3,3,5,No,4,38,Monthly plan with discount,"Price, Proven health results, Chef reputation",
24,Female,Other,Full-time,9761,Muscle gain,4,Low,Office canteen,2,Cooking skills,2,Mobile app,4,2,5,4,Yes,5,33,Monthly plan with discount,"App experience, Price, Taste variety",
43,Female,Dubai,Student,13531,No specific goal,2,Moderate,Meal box/subscription,2,"Limited options nearby, Lack of time, Confusing nutrition info",4,Mobile app,3,4,3,3,Yes,5,41,Pay-as-you-go,"Chef reputation, App experience, Proven health results",
20,Female,Sharjah,Unemployed,21937,Muscle gain,4,Low,Office canteen,2,"Cost, Limited options nearby, Taste",2,Mobile app,4,3,5,5,No,5,50,Pay-as-you-go,"Proven health results, Taste variety, App experience",
36,Male,Dubai,Full-time,13710,Weight loss,3,Low,Restaurant/take-away,3,Taste,1,Mobile app,4,4,5,4,No,2,24,Pay-as-you-go,"App experience, Price, Taste variety",
49,Male,Dubai,Full-time,16263,Weight loss,3,Low,Office canteen,5,Cost,1,Phone/WhatsApp,4,4,4,3,Yes,3,32,Weekly plan,"Chef reputation, Proven health results, Taste variety",
24,Male,Dubai,Full-time,16306,Muscle gain,3,Low,Skip,5,"Taste, Cost",1,Mobile app,4,3,5,4,No,5,38,Monthly plan with discount,"Chef reputation, Proven health results, Taste variety",
27,Female,Dubai,Full-time,18481,Weight loss,3,Low,Restaurant/take-away,2,"Limited options nearby, Taste",3,Phone/WhatsApp,5,3,4,4,Yes,5,40,Weekly plan,"App experience, Sustainability creds, Price",
32,Male,Dubai,Full-time,19833,No specific goal,2,Low,Cook at home,3,"Confusing nutrition info, Limited options nearby, Lack of time",3,Mobile app,3,3,5,4,No,3,31,Pay-as-you-go,"Sustainability creds, Proven health results, Chef reputation",
27,Male,Dubai,Part-time,13749,General health,3,Athlete,Meal box/subscription,0,"Limited options nearby, Taste, Lack of time",4,Mobile app,4,2,5,1,No,4,31,Monthly plan with discount,"Taste variety, Sustainability creds, App experience",
19,Non-binary,Dubai,Full-time,9510,Weight loss,4,Low,Office canteen,4,Taste,2,Mobile app,5,3,3,2,No,1,14,Pay-as-you-go,"Price, Taste variety, Sustainability creds",
32,Male,Other,Full-time,8155,General health,4,Low,Meal box/subscription,2,Lack of time,2,Mobile app,5,5,4,4,No,3,22,Monthly plan with discount,"App experience, Chef reputation, Sustainability creds",
